本词表根据NorthEuraLex数据库概念框架构建
日语部分填写人：李霁霄 日本关西学院大学 社会学系本科生 留学经验4年
英语	汉语	日语
#身体语义场
eye	眼睛	目
ear	耳朵	耳
nose	鼻子	鼻
mouth	嘴	口
tooth	牙	歯
tongue	舌	舌
lip	唇	唇
cheek	颊	頬
face	脸	顔
forehead	额	額
hair	头发	髪
moustache	髭	口ひげ
beard	胡子	あごひげ
chin	下巴	顎
throat	喉	喉
neck	颈	首
nape	后颈	首筋
head	头	頭
back	背	背
spine	脊椎	脊椎
belly	肚子	おなか
navel	肚脐	へそ
bosom	乳房	乳房
chest	胸	胸
shoulder	肩	肩
arm	臂	臂
elbow	肘	肘
hand	手	手
palm	手心	手のひら
finger	手指	指
fingernail	指甲	爪
toe	趾	つま先
foot	脚	足
heel	脚跟	かかと
knee	膝	膝
thigh	大腿	もも
leg	腿	脚
body	身体	体
skin	皮肤	肌
blood	血	血
vein	血管	血管
bone	骨	骨
brain	脑	脳
heart	心	心臓
stomach	胃	胃
tear	眼泪	涙
health	健康	健康
illness	疾病	疾病
pain	疼痛	痛み
wound	伤口	傷
fever	发热	熱
medicine	药	薬
hungry	饥饿	ひもじい
sick	生病	病気
cough	咳嗽	咳
recover	痊愈	回復
die	死	死ぬ
get tired	疲劳	疲労
be alive	生存	生存
be born	出生	生まれる
breathe	呼吸	呼吸
liver	肝	肝臓
#自然世界语义场
sky	天空	天空
sun	太阳	太陽
moon	月亮	つき
star	星	星
air	空气	空気
wind	风	風
wave	浪	波
water	水	水
stone	石	石
soil	土	土
ground	地面	地面
earth	地球	地球
dust	尘	ちり
smoke	烟	煙
spark	火花	火花
fire	火	火
light	光	光
shadow	影	影
weather	天气	天気
fog	雾	霧
cloud	云	雲
rain	雨	雨
snow	雪	雪
ice	冰	氷
frost	霜	霜
chill	冷	冷気
rainbow	彩虹	虹
thunder	雷	雷
current	水流	流れ
drop	滴	滴
foam	泡沫	泡
dirt	泥土	泥
lake	湖	湖
swamp	沼泽	沼地
moor	荒原	原野
meadow	草地	草地
forest	森林	森
hill	丘	丘
elevation	海拔	海抜
mountain	山	山
summit	山顶	頂上
cave	山洞	洞穴
slope	坡	坂
source	源头	もと
brook	溪	小川
river	河	川
shore	岸	岸
coast	海岸	海岸
land	土地	陸地
sea	海	海
island	岛	島
iron	钢	鉄
gold	金	金
silver	银	銀
coal	煤	石炭
glass	玻璃	ガラス
clay	黏土	粘土
shine	发光	光らせる
thunder	雷电	雷鳴
blow	吹	吹く
flow	流	流れる
freeze	冰冻	冷凍
thaw	解冻	解凍
melt	融化	溶ける
sand	沙	砂
dry	干燥	乾燥
rot	腐烂	腐る
decay	腐朽	朽ちる
sound	声音	声
rock	岩石	岩
#农业与植物语义场
flower	花	花
grass	草	草
root	根	根
tree	树	木
trunk	树干	幹
bark	树皮	樹皮
branch	树枝	枝
leaf	叶	葉
birch	桦	樺の木
pine	松	松
willow	柳	柳
berry	浆果	ベリー
apple	苹果	りんご
mushroom	蘑菇	キノコ
onion	洋葱	タマネギ
seed	种子	種
grain	谷物	穀物
hay	干草	干し草
wheat	小麦	小麦
buckwheat	荞麦	そば
rose	玫瑰	ローズ
chrysanthemum	菊花	菊
#动物语义场
horn	角	角
feather	羽毛	羽
fur	毛皮	毛皮
wing	翅膀	翼
claw	爪子	鉤爪
tail	尾巴	しっぽ
egg	蛋	卵
nest	巢	巣
lair	巢穴	穴
animal	动物	動物
flock	群	群れ
cow	牛	牛
bull	公牛	種牛
horse	马	馬
sheep	羊	羊
pig	猪	豚
dog	狗	犬
cat	猫	猫
bear	熊	熊
squirrel	松鼠	リス
fox	狐	狐
hare	兔	うさぎ
mouse	鼠	鼠
wolf	狼	狼
bird	鸟	鳥
chicken	鸡	鶏
cock	公鸡	雄鶏
goose	鹅	ガチョウ
eagle	鹰	ワシ
duck	鸭	鴨
owl	猫头鹰	梟
crane	鹤	鶴
crow	乌鸦	鴉
cuckoo	杜鹃	カッコウ
swan	天鹅	白鳥
fish	鱼	魚
snake	蛇	蛇
worm	虫	虫
spider	蜘蛛	蜘蛛
ant	蚂蚁	アリ
midge	蚊子	蚊
fly	苍蝇	蝿
bark	吠	吠え
fly	飞	飛ぶ
sting	蛰	刺す
butterfly	蝴蝶	蝶
#亲属语义场
human	人类	人類
man	男人	男
woman	女人	女
child	孩子	子供
boy	男孩	男の子
girl	女孩	女の子
family	家庭	家庭
grandfather	爷爷	祖父
grandmother	奶奶	祖母
parents	父母	両親
father	父亲	父親
mother	母亲	母親
son	儿子	息子
daughter	女儿	娘
brother	兄弟	兄弟
sister	姐妹	姉妹
uncle	叔叔	おじ
aunt	阿姨	おば
husband	丈夫	夫
guest	客人	客人
friend	朋友	友人
companion	同伴	仲間
wife	妻子	妻
情感与价值语义场
joy	快乐	喜び
happiness	幸福	幸せ
grief	悲痛	悲しみ
wish	希望	希望
desire	渴望	願望
spirit	精神	精神
thought	思想	思想
memory	记忆	記憶
mind	心灵	心
meaning	意义	意味
reason	理由	理由
life	生命	命
death	死亡	死亡
grave	坟墓	墓
church	教堂	教会
sin	罪	罪
god	神	神
mistake	错误	過ち
lie	谎言	嘘
damage	损坏	損害
misfortune	不幸	不幸
fault	责任	責任
merry	愉快	愉快
sad	悲伤	悲しい
good	好	良い
bad	坏	悪い
correct	正确	正確
nasty	糟糕	不快
love	爱	愛
like	喜欢	好き
laugh	笑	笑う
weep	流泪	泣く
be annoyed	生气	怒る
be afraid	害怕	恐れる
calm	镇静	冷静
truth	真理	真理
#语言和文字语义场
speech	演讲	演説
language	语言	言語
voice	人声	人声
word	词	単語
sign	签字	サイン
call	称呼	呼び
tone	音调	トーン
fairy tale	童话	おとぎ話
story	故事	物語
message	讯息	メッセージ
news	新闻	ニュース
bracket	括号	括弧
book	书	本
character	字	文字
newspaper	报纸	新聞
say	说	言う
speak	谈	喋る
talk	谈论	話す
chat	聊天	チャット
ask	问	聞く
tell	告诉	教える
convey	表达	伝える
name	命名	名付け
brag	吹嘘	自慢
translate	翻译	翻訳
read	读	読む
write	写	書く
name	名字	名前
#现代世界语义场
doll	玩偶	人形
company	公司	会社
picture	照片	写真
figure	图形	図形
boss	老板	上司
master	能手	達人
doctor	医生	医者
teacher	老师	先生
money	钱	お金
business	商业	商業
shop	商店	商店
price	价格	値段
ware	商品	商品
profit	利润	利潤
wealth	财富	財産
firm	商行	商会
flat	公寓	アパート
boat	船	船
oar	桨	櫂
pasture	牧场	牧場
#数量语义场
count	计数	数える
sort	排序	仕分け
piece	块	片
part	部分	部分
heap	堆	堆積
bundle	一捆	束
step	步	一歩
half	一半	半分
first	第一	一番
second	第二	二番
one	一	一
two	二	二
three	三	三
four	四	四
five	五	五
six	六	六
seven	七	七
eight	八	八
nine	九	九
ten	十	十
a hundred	百	百
a thousand	千	千
measure	测量	測定
calculate	计算	計算
#行为和技术语义场
row	划	こぐ
load	装载	積む
become	成为	成る
happen	发生	起きる
begin	开始	はじめ
end	结束	終わる
change	改变	変わる
rise	上升	上がる
set	设定	設定
burn	烧	焼き
revolve	转动	回す
swing	摇摆	揺らす
fall	跌落	落下
boil	煮	煮る
snap	折断	折れる
sink	沉没	沈没
pass	传递	通る
appear	出现	現れる
disappear	消失	消える
drop	落下	落ちる
decrease	减少	減る
increase	增加	増える
grow	生长	成長
sparkle	闪烁	煌めく
be noisy	吵闹	騒ぎ
chime	鸣	鳴る
ring	响铃	響く
roar	咆哮	唸る
move	移动	移動
swim	游泳	泳ぐ
dive	潜水	潜る
drive	驾驶	運転
go	去	行く
depart	启程	出発
stop	停	止まる
go in	进去	入る
enter	进入	立ち入る
come	来	来る
arrive	到达	到着
come back	回来	帰る
stay	停留	とどまる
wait	等待	待つ
seek	寻求	探し求める
look for	找	探す
find	找到	探し出す
try	尝试	試す
prepare	准备	準備
watch	观看	観察
show	展示	展覧
do	做	やる
can	能	できる
want	想要	欲しい
finish	完成	完成
succeed	成功	成功
leave	离开	離れる
lose	输	負ける
make	制作	作る
produce	生产	生産
build	建	建てる
mend	修补	改める
improve	改进	改良
alter	改动	変える
connect	连接	接続
hide	隐藏	隠す
divide	分开	分ける
send	发送	送る
bring	带	連れる
add	加	加える
get	得到	得る
receive	接收	受け取る
choose	选择	選ぶ
select	选取	選択
preserve	维护	維持
hinder	阻碍	妨げる
spoil	破坏	破壊
damage	伤害	ダメージ
destroy	摧毁	ぶち壊す
promise	承诺	約束
praise	表扬	褒める
kiss	亲吻	キス
wake	唤醒	覚める
guide	引导	導く
teach	教	教え
